annotation_id,annotator,created_at,id,label,lead_time,text,updated_at
11,1,2026-02-23T10:06:16.237604Z,11,"[{""start"":0,""end"":24,""text"":""Thinkpad X1 Carbon_Gen 7"",""labels"":[""PROUCT_NAME""]},{""start"":309,""end"":320,""text"":""4600000 vnd"",""labels"":[""PRICE""]},{""start"":375,""end"":383,""text"":""Q6 , HCM"",""labels"":[""LOCATION""]}]",18.537,"Thinkpad X1 Carbon_Gen 7 - Dòng máy business cao_cấp CPU 15-8265 U / Ram 8 gb / SSD 256 gb / Màn_hình 14 FHD IPS Pin 5 1/5 1wh sử_dụng 4-5 h Hình_thức máy 97 / Màn sáng đẹp với độ sáng 400 nits nét căng / Thiết_kế vỏ carbon cực mỏng nhẹ , phím Led_Hệ_thống 4 loa Dolby_Atmos / Máy nguyên zin , full chức_năng 4600000 vnd kèm sạc Ship_COD toàn_quốc có cọc 0931974025 ( Hùng ) Q6 , HCM",2026-02-23T10:06:16.237604Z
12,1,2026-02-23T10:06:30.704910Z,12,"[{""start"":0,""end"":12,""text"":""Asus X441uak"",""labels"":[""PROUCT_NAME""]},{""start"":127,""end"":135,""text"":""2800000 "",""labels"":[""PRICE""]},{""start"":153,""end"":161,""text"":""Hà_nội ."",""labels"":[""LOCATION""]}]",12.404,"Asus X441uak còn đẹp , full cn . Cpu : Core i5 gen 7 . Ram 8gb ( ddr 4 ) . Ô cứng : SSD 240GB . Màn 14 inh HD . Pin 3h . Giá : 2800000 ( kèm sạc zin ) . Hà_nội .",2026-02-23T10:06:30.704910Z
13,1,2026-02-23T10:06:52.266813Z,13,"[{""start"":0,""end"":19,""text"":""Asus_Tuf_Gaming F15"",""labels"":[""PROUCT_NAME""]},{""start"":305,""end"":313,""text"":""14500000"",""labels"":[""PRICE""]},{""start"":253,""end"":294,""text"":""số 30 Ngõ 67 Đình_Thôn - Mỹ_Đình - Hà_Nội"",""labels"":[""LOCATION""]}]",19.95,"Asus_Tuf_Gaming F15 CPU : i 7-12700 H ( 14 nhân 20 luồng ) RAM : 8Gb ( DDR 5 ) SSD : NVME 512Gb VGA : RTX 3050 Ti 4Gb Màn_hình FHD 15,6 inch 144Hz Máy không lỗi_lầm , ngoại_hình đẹp keng Máy phù_hợp với làm_việc đồ họạ và giải_trí Xem máy trực_tiếp tại số 30 Ngõ 67 Đình_Thôn - Mỹ_Đình - Hà_Nội Giá bán : 14500000 ( bao test một tuần , bảo_hành 1 tháng )",2026-02-23T10:06:52.266813Z
14,1,2026-02-23T10:07:11.836356Z,14,"[{""start"":0,""end"":24,""text"":""Legion 5 Pro R9000P ARX8"",""labels"":[""PROUCT_NAME""]},{""start"":137,""end"":149,""text"":""28000000 vnd"",""labels"":[""PRICE""]},{""start"":150,""end"":165,""text"":""Phú_Nhuận , HCM"",""labels"":[""LOCATION""]}]",17.362,"Legion 5 Pro R9000P ARX8 - Like_New_Fullbox cấu_hình : Ryzen 9 7945HX 16G 1T RTX 4060 _ 8 G 15.6 QHD 240Hz BH Mac24h còn hơn 7 tháng Chỉ 28000000 vnd Phú_Nhuận , HCM 0938545866",2026-02-23T10:07:11.836356Z
15,1,2026-02-23T10:07:36.052961Z,15,"[{""start"":0,""end"":7,""text"":""Laptop "",""labels"":[""PROUCT_TYPE""]},{""start"":7,""end"":26,""text"":""dell Insprion 5490 "",""labels"":[""PROUCT_NAME""]},{""start"":236,""end"":243,""text"":""6800000"",""labels"":[""PRICE""]},{""start"":266,""end"":273,""text"":""hà_nội "",""labels"":[""LOCATION""]}]",20.462,"Laptop dell Insprion 5490 Chip_Intel i 5-10210 U / Ram 12 GB / ssd 256GB màn_hình 14.0 fhd Máy có card rơid mx250 2Gb Máy đẹp , chạy full chức_năng , màn đẹp , hiển_thị nét , cutcup , edit ảnh video nhẹ nhang pin chạy 3H -4 H Giá bán : 6800000 xem máy trực_tiếp tại hà_nội hoặc ship cod toàn_quốc zalo sdt : 0911533886",2026-02-23T10:07:36.052961Z
16,1,2026-02-23T10:07:58.217780Z,16,"[{""start"":11,""end"":23,""text"":""3000000 vnd "",""labels"":[""PRICE""]},{""start"":33,""end"":40,""text"":"" Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":41,""end"":53,""text"":""HP 1 5s - FQ"",""labels"":[""PROUCT_NAME""]},{""start"":161,""end"":168,""text"":""Hà_Nội "",""labels"":[""LOCATION""]}]",20.644,"Mở bát chỉ 3000000 vnd có ngay em Laptop_HP 1 5s - FQ màn_hình 15,6 in date 2020-2021 Bàn_phím full size Chip core i3 Ram 8G Ssd 256G Màu bạc trẻ trungg Máy sẵn Hà_Nội , có ship",2026-02-23T10:07:58.217780Z
17,1,2026-02-23T10:08:14.709132Z,17,"[{""start"":0,""end"":21,""text"":""Acer Nitro_An 515-57 "",""labels"":[""PROUCT_NAME""]},{""start"":150,""end"":158,""text"":""11400000"",""labels"":[""PRICE""]},{""start"":217,""end"":238,""text"":""Gò_Vấp , Hồ_Chí_Minh "",""labels"":[""LOCATION""]}]",15.048,"Acer Nitro_An 515-57 CPU : 15-11400 H Ram : 16G SSD : 512G Pin : 3h VGA : RTX 3050TI 4G Display : 15.6 FHD 144hz Màn hắc đỏ viền Chức_năng : FULL Giá 11400000 Bao_TEST 7 Ngày ( 1 Đối 1 ) , Bảo_Hành 3 Tháng 0337908615 Gò_Vấp , Hồ_Chí_Minh - Có ship COD toàn Quốc",2026-02-23T10:08:14.709132Z
18,1,2026-02-23T10:08:34.784341Z,18,"[{""start"":0,""end"":14,""text"":""Nitro_V 16 Al "",""labels"":[""PROUCT_NAME""]},{""start"":90,""end"":102,""text"":""22000000 vnd"",""labels"":[""PRICE""]},{""start"":103,""end"":119,""text"":""Phú_Nhuận , HCM "",""labels"":[""LOCATION""]}]",18.497,"Nitro_V 16 Al - New_Outlet cấu_hình : Ryzen 5 240 16G 512G RTX 5050 _ 8 G 16FHD 180Hz Chỉ 22000000 vnd Phú_Nhuận , HCM 0938545866",2026-02-23T10:08:34.784341Z
19,1,2026-02-23T10:08:52.827668Z,19,"[{""start"":0,""end"":25,""text"":""Lenovo Legion R7000P 2023"",""labels"":[""PROUCT_NAME""]},{""start"":277,""end"":286,""text"":""23300000 "",""labels"":[""PRICE""]},{""start"":286,""end"":292,""text"":""Hà_Nội"",""labels"":[""LOCATION""]}]",16.832,Lenovo Legion R7000P 2023 / R 8-7840 H / RTX 4060 / Màn 2500 165Hz - Giá chỉ 23300000 Câu hình : AMD Ryzen 8 7840H 15GB RAM 512GB SSD RTX 4060 8GB VRAM Màn 16 2500 165Hz Tình_trạng : Đẹp 98 Bảo_hành : 3 tháng Bao test : 7 ngày Cài_Win vệ_sinh bảo_dưỡng miễn_phí trọn đời Giá : 23300000 Hà_Nội,2026-02-23T10:08:52.827668Z
20,1,2026-02-23T10:09:19.665913Z,20,"[{""start"":0,""end"":6,""text"":""Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":7,""end"":27,""text"":""Dell G15 5511 Gaming"",""labels"":[""PROUCT_NAME""]},{""start"":118,""end"":127,""text"":""12400000 "",""labels"":[""PRICE""]},{""start"":202,""end"":223,""text"":""Gò_Vấp , Hồ_Chí_Minh "",""labels"":[""LOCATION""]}]",25.622,"Laptop_Dell G15 5511 Gaming_CPU : 15 12500H RTX 3050 4G Ram : 16G SSD : 512G Display : 15.6 FHD 120hz Pin : 2-3 h Giá 12400000 Chức_năng : FULL Bao_TEST 7 Ngày ( 1 Đổi 1 ) , Bảo_Hành 3 Tháng 0337908615 Gò_Vấp , Hồ_Chí_Minh - Có ship COD toàn Quốc",2026-02-23T10:09:19.665913Z
21,1,2026-02-23T10:09:33.347128Z,21,"[{""start"":0,""end"":20,""text"":""Lenovo Legion 5 Pro "",""labels"":[""PROUCT_NAME""]},{""start"":364,""end"":373,""text"":""17600000 "",""labels"":[""PRICE""]},{""start"":373,""end"":379,""text"":""Hà_Nội"",""labels"":[""LOCATION""]}]",12.195,"Lenovo Legion 5 Pro - R 7-5800 H / RTX 3060 - Màn 2500 165Hz - Giá chỉ 17600000 Cấu_hình : AMD Ryzen 7 5800H 16GB RAM 512GB SSD RTX 3060 - 6GB VRAM , hiệu_năng mạnh , cân tốt game đô hoạ Màn 16 2500 165Hz - siêu nét , mượt , tỉ_lệ 16:10 cao_cấp Tình_trạng : Máy đẹp 98 , hoạt_động ổn_định Bảo_hành : 1 tháng Bao test 7 ngày Miễn_phí cài Win vệ_sinh trọn đời Giá : 17600000 Hà_Nội",2026-02-23T10:09:33.347128Z
22,1,2026-02-23T10:09:55.688554Z,22,"[{""start"":0,""end"":28,""text"":""Acer Nitro 5 Tiger_An 515-58"",""labels"":[""PROUCT_NAME""]},{""start"":123,""end"":132,""text"":""14800000 "",""labels"":[""PRICE""]},{""start"":203,""end"":223,""text"":""Gò_Vấp , Hồ_Chí_Minh"",""labels"":[""LOCATION""]}]",19.896,"Acer Nitro 5 Tiger_An 515-58 CPU : 17 _ 12700 H RTX 3050 Ti _ 4G Ram : 16G SSD : 512G Display : 15.6 FHD 144hz Pin : 3 Giá 14800000 Bao_TEST 7 Ngày ( 1 Đổi 1 ) , Bảo_Hành 3 Tháng 0337908615 ( Zalo ) : : Gò_Vấp , Hồ_Chí_Minh - Có ship COD toàn Quốc",2026-02-23T10:09:55.688554Z
23,1,2026-02-23T10:10:11.943741Z,23,"[{""start"":0,""end"":7,""text"":""Q6 HCM "",""labels"":[""LOCATION""]},{""start"":280,""end"":288,""text"":""21000000"",""labels"":[""PROUCT_TYPE""]},{""start"":16,""end"":31,""text"":""MSI Vector GP76"",""labels"":[""PROUCT_NAME""]}]",14.931,"Q6 HCM mình bán MSI Vector GP76 CPU Intel Core i 7-12700 H VGA RTX 3070Ti 150W ( max công_suất ) RAM 32 GB ( 16 x 2 ) Kingston_Fury DDR4 3200 SSD 1TB Măn hình 17.3 Inch_FHD ( 1920 x 1080 ) , 360Hz , 100 SRGB Ngoại_hình 80 , đã vệ_sinh dán Honeywell_Giao dịch trực_tiếp tại Q6 Giá 21000000",2026-02-23T10:10:11.943741Z
24,1,2026-02-23T10:10:30.054986Z,24,"[{""start"":13,""end"":26,""text"":""21900000 vnd "",""labels"":[""PRICE""]},{""start"":28,""end"":47,""text"":""Lenovo Legion 5 Pro"",""labels"":[""PROUCT_NAME""]},{""start"":219,""end"":240,""text"":"" Gò_Vấp , Hồ_Chí_Minh"",""labels"":[""LOCATION""]}]",16.719,"RTX 3070Ti ( 21900000 vnd ) Lenovo Legion 5 Pro_CPU : Ryzen 7 6800H RTX 3070Ti ( 8G ) Ram : 16G SSD : 512G Display : 15.6 2k5 165hz Pin : 4H Chức_năng : FULL Bao_TEST 7 Ngày ( 1 Đổi 1 ) , Bảo_Hành 3 Tháng 0337908615 : : Gò_Vấp , Hồ_Chí_Minh - Có ship COD toàn Quốc",2026-02-23T10:10:30.054986Z
25,1,2026-02-23T10:10:44.598315Z,25,"[{""start"":0,""end"":17,""text"":""HP ProBook 450 G7"",""labels"":[""PROUCT_NAME""]},{""start"":180,""end"":183,""text"":""HN "",""labels"":[""LOCATION""]},{""start"":172,""end"":180,""text"":""6700000 "",""labels"":[""PRICE""]}]",13.36,"HP ProBook 450 G7 vỏ nhôm Chip i 7-10510 U Ram 8GB SSD 512 GB NVIDIA cạc rời MX250 ( 2 G ) Màn 15.6 in full HD-60 Hzzz_Pin dùng 2,5-3 h Máy dùng tốt mọi chức_năng Giá sale 6700000 HN ship cod toàn_quốc",2026-02-23T10:10:44.598315Z
26,1,2026-02-23T10:11:09.414747Z,26,"[{""start"":0,""end"":6,""text"":""Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":7,""end"":21,""text"":""HP_Pavilion 14"",""labels"":[""PROUCT_NAME""]},{""start"":176,""end"":184,""text"":""5500000 "",""labels"":[""PRICE""]},{""start"":184,""end"":187,""text"":""HN "",""labels"":[""LOCATION""]}]",23.283,"Laptop_HP_Pavilion 14 - ce 3 xxx vỏ nhôm Chip i 5-103 5G 1 Ram 8 GB SSD 240 GB Màn 14 in full HD-60 Hzzz_Pin dùng 2,5-3 h Máy dùng tốt mọi chức_năng học_tập văn_phòng Giá sale 5500000 HN ship cod toàn_quốc",2026-02-23T10:11:09.414747Z
27,1,2026-02-23T10:11:28.128665Z,27,"[{""start"":4,""end"":15,""text"":""8700000 vnd"",""labels"":[""PRICE""]},{""start"":15,""end"":37,""text"":"" HP Elite_Dragonfly G2"",""labels"":[""PROUCT_NAME""]},{""start"":336,""end"":366,""text"":""nguyễn_văn trỗi mộ lao hà_đông"",""labels"":[""LOCATION""]}]",17.44,"Chỉ 8700000 vnd HP Elite_Dragonfly G2 Mỏng nhẹ , đăng cấp doanh_nhân Cấu_hình mạnh_mẽ : CPU : Core i 5-113 5G 7 RAM : 8GB SSD : 256GB Màn_hình : 13 Full_HD - cảm_ứng mượt siêu nét Xoay gập 360đ cảm_ứng mượt Máy đẹp keng Thiết_kế siêu mỏng nhẹ - chưa tới 1kg , cực_kỳ phù_hợp cho người hay di_chuyển Pin trâu 3-4 h Xem máy trực_tiếp tại nguyễn_văn trỗi mộ lao hà_đông Hỗ_trợ ship cod toàn_quốc Nhận hàng kiểm_tra thanh_toán Đt zalo 0969 555 819",2026-02-23T10:11:28.128665Z
28,1,2026-02-23T10:11:44.752335Z,28,"[{""start"":0,""end"":19,""text"":""Macbook_Pro 13 2019"",""labels"":[""PROUCT_NAME""]},{""start"":36,""end"":44,""text"":""6500000 "",""labels"":[""PRICE""]},{""start"":59,""end"":73,""text"":""Vĩnh_Lộc , HCM"",""labels"":[""LOCATION""]}]",15.46,"Macbook_Pro 13 2019 , Giá công_khai 6500000 miền trả_giá , Vĩnh_Lộc , HCM Touch bar cảm_ứng , máy 1 đời chủ còn full box Màn 13.3 2000 Sáng đẹp có chấm đen nhỏ_xíu như ảnh ( ngay chuột trong màn_hình xanh ) Cấu_hình i5 1 . 4G Hz 4 nhân 8 luồng 8GB 128GB Pin còn khoảng 3-4 tiếng , kèm sạc hộp zin , Máy icloud chính chủ , không mdm , không by pass , ... Ngoại_hình như ảnh có cần trầy , cơ_bản còn đẹp ,",2026-02-23T10:11:44.752335Z
29,1,2026-02-23T10:11:59.348646Z,29,"[{""start"":0,""end"":11,""text"":""9300000 vnd"",""labels"":[""PRICE""]},{""start"":12,""end"":32,""text"":""Asus_TUF_Gaming F15 "",""labels"":[""PROUCT_NAME""]},{""start"":196,""end"":217,""text"":""Gò_Vấp , Hồ_Chí_Minh "",""labels"":[""LOCATION""]}]",12.981,"9300000 vnd Asus_TUF_Gaming F15 CPU : 15-10300 H GTX 1650 4G Ram : 8G SSD : 512G Display : 15.6 FHD 144hz Pin : 3h - Chức_năng : FULL Bao_TEST 7 Ngày ( 1 Đối 1 ) , Bảo_Hành 3 Tháng 0337908615 : : Gò_Vấp , Hồ_Chí_Minh - Có ship COD toàn Quốc",2026-02-23T10:11:59.348646Z
30,1,2026-02-23T10:12:23.509971Z,30,"[{""start"":0,""end"":6,""text"":""Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":7,""end"":20,""text"":""LG_Gram 14zda"",""labels"":[""PROUCT_NAME""]},{""start"":54,""end"":63,""text"":""11500000 "",""labels"":[""PRICE""]},{""start"":581,""end"":588,""text"":""Hà_Nội "",""labels"":[""LOCATION""]}]",22.05,"Laptop_LG_Gram 14zda Hàng lướt full box bán nửa giá : 11500000 Đằng cấp và khác bọt : cấu_hình mạnh , thân máy siêu mỏng gọn_nhẹ , màn_hình rất đẹp , loa hay , pin khoẻ Cấu_hình cpu i5 1340p 12 nhân 16 luồng , ram 8gb ddr5 buss 6000 , ssd 256gb Nvme card đồ_hoạ tích_hợp Intel XE graphic màn 14inch fhd ips 100 srgb rất đẹp pin dung_lượng cao 53wh gân như chưa chai , dùng 3-8 h tuỳ tác_vụ sạc zin đi kèm loa to và hay , cam mic đầy_đủ , mặc_dù máy mỏng nhẹ vẫn đủ 2 cổng usb truyền_thông , 2 type C , HDMI full size Nói_chung là ngon và xịn sò Hàng full box , bảo_hành 1 tháng Kv Hà_Nội giao trong ngày , nhận ship cod , trả_góp , quẹt thẻ Giá 11500000 Lh : 0904719632",2026-02-23T10:12:23.509971Z
31,1,2026-02-23T10:12:45.854604Z,31,"[{""start"":0,""end"":20,""text"":""Lenovo LEGION R7000P"",""labels"":[""PROUCT_NAME""]},{""start"":134,""end"":143,""text"":""33800000 "",""labels"":[""PRICE""]},{""start"":427,""end"":473,""text"":""529\/141 Huỳnh_Văn_Bánh , P. 13 , Q. Phú_Nhuận "",""labels"":[""LOCATION""]}]",21.08,"Lenovo LEGION R7000P Zin_Đẹp 99 CPU : Ryzen 9 8945 HX / 16 GB / 1 TB / 16 2500 240Hz 100 DCI-P 3 / RTX 5070 8G 115 W / Phím_Led_Giá : 33800000 Quà_Tặng : Sạc_Zin - Balo - Túi chống sốc - Chuột ko dây - Voucher giảm_giá Bao test 7 ngày cam_kết hoàn tiền 100 nếu máy lỗi Hỗ_trợ quẹt thẻ_tín_dụng lãi_suất 0 Hỗ_trợ trả_góp qua ngân_hàng Ship_COD_Toàn_Quốc BẢO_HÀNH 06 THÁNG TẠI STORE Hotline : 0383 225 889 - 0569 65 65 65 CS 1 : 529/141 Huỳnh_Văn_Bánh , P. 13 , Q. Phú_Nhuận , TP.",2026-02-23T10:12:45.854604Z
32,1,2026-02-23T10:13:01.851511Z,32,"[{""start"":0,""end"":6,""text"":""Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":7,""end"":25,""text"":""LENOVO_LOQ 15ARP9 "",""labels"":[""PROUCT_NAME""]},{""start"":150,""end"":159,""text"":""17900000 "",""labels"":[""PRICE""]},{""start"":443,""end"":498,""text"":""529\/141 Huỳnh_Văn_Bánh , P. 13 , Q. Phú_Nhuận , TP. HCM"",""labels"":[""LOCATION""]}]",14.82,"Laptop_LENOVO_LOQ 15ARP9 Máy_Đẹp keng Fullbox_Còn_BH 09/2027 CPU : Ryzen 5 7325 HS / 2 4G / 1 T / 15.6 144Hz 100 SRGB / RTX 3050 6 G / Phím_Led_Giá : 17900000 Quà_Tặng : Sạc_Zin - Balo - Túi chống sốc - Chuột ko dây - Voucher giảm_giá Bao test 7 ngày cam_kết hoàn tiền 100 nếu máy lỗi Hỗ_trợ quẹt thẻ_tín_dụng lãi_suất 0 Hỗ_trợ trả_góp qua ngân_hàng Ship_COD_Toàn_Quốc BẢO_HÀNH 06 THÁNG TẠI STORE Hotline : 0383 225 889 - 0569 65 65 65 CS 1 : 529/141 Huỳnh_Văn_Bánh , P. 13 , Q. Phú_Nhuận , TP. HCM",2026-02-23T10:13:01.851511Z
33,1,2026-02-23T10:13:25.958833Z,33,"[{""start"":0,""end"":15,""text"":""HP Laptop 1 4s "",""labels"":[""PROUCT_NAME""]},{""start"":312,""end"":320,""text"":""2700000 "",""labels"":[""PRICE""]},{""start"":323,""end"":330,""text"":""Hà_Nội "",""labels"":[""LOCATION""]}]",15.629,"HP Laptop 1 4s - cf 0 xxx Trắng - Thời_Trang Cho Văn_Phòng Học_Tập Chip i 3-8130 U , RAM 8GB , SSD 256GB - Đủ dùng cho văn_phòng và học_tập Màn_hình 14 HD , nhỏ gọn , tiện_lợi Phím nhạy , đủ chức_năng , có loa , cam , mic m Pin 2h , Em pass sẵn tại HN , ship COD toàn_quốc Trả_góp qua CCCD hoặc thẻ_tín_dụng Giá 2700000 Kv Hà_Nội ship trong ngày Zalo / call 0968030000",2026-02-23T10:13:25.958833Z
